Measurement_Number,Time [s],TGS2620,TGS2602,TGS2603,TGS2610,TGS2611,TGS2600,Label
2,54,0.0395364454,0.0060982734,0.009853331,0.0082189999,0.0195946133,0.0255222532,CO
2,55,0.0394944453,0.0061551778,0.0099762039,0.0082044028,0.0196338083,0.0255429707,CO
2,56,0.0394707162,0.0062141077,0.0101060171,0.0080877376,0.0196611904,0.0255672745,CO
2,57,0.0394641702,0.0062982366,0.0102525375,0.0080507963,0.0196854668,0.0256123199,CO
2,58,0.0394498823,0.006374192,0.0103805215,0.0080550136,0.0197018143,0.0256553338,CO
2,59,0.0394232319,0.006442689,0.0105114061,0.0080609506,0.0196766972,0.0256948949,CO
2,60,0.0393823362,0.0065151066,0.010635753,0.0080656015,0.0196677539,0.0257201085,CO
2,61,0.039317526,0.0065713413,0.0107488661,0.0080516953,0.019677315,0.0257487305,CO
2,62,0.0392549497,0.0066354937,0.010870769,0.0080513471,0.0196865366,0.0257792075,CO
2,63,0.0391973138,0.0066887536,0.0109523633,0.0080415114,0.0197029869,0.0258027382,CO
2,64,0.0391200566,0.0067352505,0.0110273491,0.0080382469,0.0197063207,0.0258368117,CO
2,65,0.0390561655,0.0067797365,0.0110945563,0.0080335544,0.0197018355,0.025858901,CO
2,66,0.0389677978,0.0068157544,0.0111394496,0.0080323861,0.0196876665,0.0258908087,CO
2,67,0.0389101628,0.0068617585,0.0111878764,0.0080341794,0.0196780068,0.0259095531,CO
2,68,0.0388517266,0.0068975299,0.0112224288,0.0080350111,0.0196643089,0.0259396929,CO
2,69,0.0387969623,0.0069368757,0.0112542245,0.0080453867,0.0196616752,0.025971909,CO
2,70,0.0387463061,0.006976298,0.0112787702,0.0080487313,0.0196549889,0.0259942574,CO
2,71,0.0387057453,0.0070112609,0.0112999365,0.0080482236,0.0196431694,0.0260082973,CO
2,72,0.0386757276,0.0070423058,0.0113212886,0.0080552636,0.0196307218,0.0260297278,CO
2,73,0.0386374715,0.0070715584,0.0113294528,0.0080560343,0.0196219579,0.0260543313,CO
2,74,0.0386002997,0.0070907272,0.0113399011,0.0080650309,0.0196183632,0.0260786112,CO
2,75,0.0385651259,0.0071127496,0.0113487886,0.0080653665,0.0196113809,0.0261106439,CO
2,76,0.0385318053,0.0071332896,0.0113564476,0.0080659148,0.0195999717,0.0261378063,CO
2,77,0.0384970374,0.0071575423,0.0113591206,0.0080646817,0.0195912346,0.0261604908,CO
2,78,0.0384646222,0.0071675693,0.0113574728,0.0080695019,0.0195893906,0.0261866297,CO
2,79,0.0384299258,0.0071834048,0.0113537083,0.0080662427,0.019579823,0.0262152578,CO
2,80,0.0383865205,0.0071968862,0.0113507327,0.0080669362,0.0195761877,0.0262457548,CO
2,81,0.0383618112,0.0072058496,0.0113420675,0.0080626692,0.0195698132,0.0262691158,CO
2,82,0.0383323089,0.0072206158,0.0113349573,0.0080641102,0.0195638318,0.0262936256,CO
2,83,0.0383066739,0.0072250383,0.011328305,0.0080648888,0.0195600334,0.0263108273,CO
2,84,0.0382739942,0.0072320996,0.0113188938,0.0080637235,0.0195632324,0.0263290468,CO
2,85,0.0382414708,0.0072343021,0.0113158323,0.0080567567,0.0195621826,0.0263399541,CO
2,86,0.0382176408,0.0072420756,0.011302509,0.0080620479,0.0195582618,0.0263499418,CO
2,87,0.0382006768,0.0072376304,0.0112967555,0.008064561,0.0195544726,0.026361029,CO
2,88,0.0381735201,0.007241388,0.011284824,0.008061264,0.0195477753,0.0263750563,CO
2,89,0.0381511881,0.0072442632,0.0112751955,0.0080646145,0.0195519647,0.0263815534,CO
2,90,0.0381221456,0.007243394,0.0112639344,0.0080622724,0.0195438187,0.0264085495,CO
